Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP2314002M,230062763,Montgomery County Police,Property Damage Crash,10/26/2023 06:01:00 PM,County,POSTOAK RD,VICTORY LA,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,C25DDB1B-4E1F-41E3-BBD7-2472537833F2,Unknown,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A35E5692-C1E8-49ED-A5C7-AA96EC6C9208,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,STARTING FROM LANE,South,25,No,No,2015,TOYOTA,HIGHLANDER,39.05015777,-77.17801185,(39.05015777 -77.17801185)
MCP3230004T,230061407,Montgomery County Police,Property Damage Crash,10/19/2023 11:40:00 AM,Maryland (State),CONNECTICUT AVE,VEIRS MILL RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,9568DEA5-B4AC-465C-8E3D-6B76D2EF10DD,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,47F9FDBA-4474-4154-A4DE-C14F08E6561D,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2021,TOYOTA,TACOMA,39.05104433,-77.07475017,(39.05104433 -77.07475017)
MCP3259003D,230055970,Montgomery County Police,Property Damage Crash,09/20/2023 04:30:00 PM,County,SEVEN LOCKS RD,CODDLE HARBOR LA,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,AE6469C3-1E38-4A14-B379-800F3BF4934F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9823935F-4158-420E-A6E1-2528D138F387,SUPERFICIAL,TWO OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,35,No,No,2014,CHEVROLET,TAHOE,39.04241032,-77.1595646,(39.04241032 -77.1595646)
MCP3362001H,230050243,Montgomery County Police,Property Damage Crash,08/19/2023 12:41:00 PM,County,NORTHAMPTON DR,BEACON RD,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7622734F-F7F7-464A-A662-6142439AC41D,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,4A615F54-900E-4008-A57C-9BEB8B661496,SUPERFICIAL,FOUR OCLOCK,TRANSIT BUS,MOVING CONSTANT SPEED,South,25,No,No,2016,NEW FLYER,XN4,39.00750974,-76.98365898,(39.00750974 -76.98365898)
MCP9390002M,230066562,Montgomery County Police,Property Damage Crash,11/15/2023 06:05:00 PM,Interstate (State),EISENHOWER MEMORIAL HWY,GAME PRESERVE RD,,N/A,,SAME DIR REAR END,CLEAR,N/A,DARK LIGHTS ON,N/A,N/A,,3EAF100D-1C26-4E17-A0DE-B95FE7C392C2,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,AC5DF047-9320-42D0-9D6B-7B7CC0A7B507,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,ACCELERATING,South,55,No,No,2021,HONDA,PILOT,39.16097627,-77.23212975,(39.16097627 -77.23212975)
MCP00360049,16026386,Montgomery County Police,Property Damage Crash,05/27/2016 11:41:00 AM,,,,PARKING LOT WEIS SHOPPING CENTER 26027 RIDGE RD,,,OTHER,CLEAR,,DAYLIGHT,N/A,NONE DETECTED,,1B16F06C-BDEF-4A90-BE3A-33F419F2A114,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E29ACEA1-C5A4-4910-827F-B82B8E488749,SUPERFICIAL,SIX OCLOCK,VAN,BACKING,South,5,No,No,2014,FORD,VAN,39.28468069,-77.20806241,(39.28468069 -77.20806241)
MCP27030033,230054895,Montgomery County Police,Property Damage Crash,09/14/2023 05:15:00 PM,US (State),GEORGIA AVE,KING ST,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,N/A,,CD7E1085-B2B7-4F88-9F0D-D5223C2EF4C8,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,D3FA4C94-9AAC-42DF-B597-BC794DFB8969,UNKNOWN,SIX OCLOCK,PASSENGER CAR,BACKING,South,35,No,No,2013,TOYOTA,CAMRY,38.98691879,-77.02664949,(38.98691879 -77.02664949)
MCP2286005D,230054490,Montgomery County Police,Property Damage Crash,09/12/2023 04:30:00 PM,County,ZETTS AVE,SHADY GROVE RD,,N/A,,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,9506B0AE-E4FF-4290-8681-8F3E4151875B,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,348BC7DF-9087-406F-9209-2579E4BEC491,FUNCTIONAL,THREE OCLOCK,PASSENGER CAR,PASSING,South,25,No,No,2010,HONDA,ACCORD,39.12106096,-77.17818225,(39.12106096 -77.17818225)
MCP243600H8,230051777,Montgomery County Police,Property Damage Crash,08/28/2023 09:15:00 AM,County,BEACON RD,SOUTHAMPTON DR,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F957E0B6-6D1D-4775-A36E-0166908CEFFA,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,B0818911-C55D-45F4-A1A6-0ABDBA828670,SUPERFICIAL,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2013,KIA,OPTIMA,39.0064683,-76.9844043,(39.0064683 -76.9844043)
MCP3129007P,230052800,Montgomery County Police,Property Damage Crash,09/02/2023 01:12:00 PM,Maryland (State),VEIRS MILL RD,TURKEY BRANCH PKWY,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,080E754C-5404-47E8-8CBC-DE0E8781551C,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,A3054E57-AA09-4B07-BF55-65597EAECFCD,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,45,No,No,2017,KIA,UT,39.05972717,-77.08867183,(39.05972717 -77.08867183)
MCP120500B3,230068073,Montgomery County Police,Property Damage Crash,11/24/2023 02:20:00 PM,Maryland (State),EAST WEST HWY,SUNDALE DR,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,FD1F4BAB-2568-4CA0-8873-99A363CD8240,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,5385F5AE-77B9-40F7-AE78-EB28B4D2170B,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,30,No,No,2013,HYUNDAI,ELANTRA,38.995145,-77.04559333,(38.995145 -77.04559333)
EJ78870037,230062614,Gaithersburg Police Depar,Property Damage Crash,11/07/2023 07:20:00 AM,Municipality,FIRSTFIELD RD,BANK ST,,GAITHERSBURG,PEDESTRIAN,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,B7264A56-6C63-4A62-9667-B299F7ED742C,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,9B786C21-BC2D-47C6-8B55-6F8DD63448D9,NO DAMAGE,TWELVE OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,North,25,No,No,2018,FRHT,BU,39.14047212,-77.22466919,(39.14047212 -77.22466919)
MCP2450004S,230066759,Montgomery County Police,Property Damage Crash,11/16/2023 06:00:00 PM,Maryland (State),QUINCE ORCHARD RD,BANK ST,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,81B40AF8-3A12-4345-B474-151313167164,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,7063FA41-9B25-423E-B1C8-DB27C3EF3A08,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,40,No,No,2010,HONDA,CIVIC,39.13998167,-77.22168833,(39.13998167 -77.22168833)
DD5663000F,230070334,Rockville Police Departme,Injury Crash,12/07/2023 08:20:00 AM,Maryland (State),HUNGERFORD DR,MANNAKEE ST,,ROCKVILLE,,OTHER,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,816C8667-1A22-4129-A29D-B00ADC8A97BA,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,FFE26944-43DA-41AB-990B-9DFE8D0F6D82,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,45,No,No,2019,GMC,TERRAIN,39.0965958,-77.15332664,(39.0965958 -77.15332664)
MCP3227004Z,230062386,Montgomery County Police,Injury Crash,10/24/2023 08:27:00 PM,Maryland (State),UNIVERSITY BLVD E,LANGLEY DR,,N/A,PEDESTRIAN,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,ALCOHOL PRESENT,C7B3DE71-16F6-483E-BE73-4ADB7C3C2765,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,88818D36-ABA9-47B6-9120-5949E9350DB8,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,20,No,No,2012,CHEVY,IMPALA,39.00154727,-76.99552645,(39.00154727 -76.99552645)
MCP285900F3,230066436,Montgomery County Police,Property Damage Crash,11/15/2023 10:00:00 AM,County,RIFFLE FORD RD,BRANDON WAY RD,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,3DB0166C-0879-4B6A-96D3-3DA744C2F8B9,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,B61C2923-1B2D-4049-8051-0DD950C33641,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30,No,No,2017,TOYOTA,RAV4,39.1215435,-77.26816283,(39.1215435 -77.26816283)
MCP28670014,15019060,Montgomery County Police,Property Damage Crash,04/23/2015 10:11:00 AM,,,,Parking lot of 7 Eleven (9254 New Hampshire Ave),,,SAME DIRECTION SIDESWIPE,N/A,,DAYLIGHT,N/A,UNKNOWN,,E75961CB-7ADE-4FB8-8C35-23924AEDB7B5,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,B3CCE825-E9D8-488F-9C22-5F3B740EBEE1,SUPERFICIAL,UNKNOWN,PICKUP TRUCK,BACKING,Unknown,0,No,No,2007,TOYOTA,TUNDRA,39.009087,-76.961407,(39.009087 -76.961407)
MCP2622003Y,230066243,Montgomery County Police,Property Damage Crash,11/14/2023 10:57:00 AM,County,NATIONAL DR,NATIONAL DR,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,C187396D-A499-44E1-9827-841DF8810662,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,9F0FC356-5E89-4FB0-93F9-58D4DC97FC0E,SUPERFICIAL,TWO OCLOCK,TRANSIT BUS,MAKING LEFT TURN,East,55,No,No,2016,NEW FLYER,XCELSIOR,39.1130124,-76.9305664,(39.1130124 -76.9305664)
MCP29620080,230049755,Montgomery County Police,Property Damage Crash,08/16/2023 01:16:00 PM,Other Public Roadway,CRYSTAL ROCK DR,GERMANTOWN RD,,N/A,,SAME DIRECTION LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,B0383432-A3FA-4B8E-8179-BB5F0CBD0770,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,6A1A06EF-C37A-4786-A8C4-EAAC433BAF4B,DISABLING,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,35,No,No,2011,KIA,SPORTAGE,39.17112018,-77.26280726,(39.17112018 -77.26280726)
HA2492000R,23001664,Maryland-National Capital,Property Damage Crash,08/25/2023 02:56:00 PM,Maryland (State),EAST WEST HWY,16TH ST,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,DCA27DEB-AC43-4F7A-9005-4E8607F32299,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,3DF3201B-B3F4-4CB2-BED5-FB0FC4A5D3FF,DISABLING,TWO OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,35,No,No,2018,FORD,TK,38.99597015,-77.03921612,(38.99597015 -77.03921612)
MCP3140002K,230071409,Montgomery County Police,Property Damage Crash,12/13/2023 05:21:00 AM,County,LYTTONSVILLE RD,LYTTONSVILLE PL,,N/A,,OTHER,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,5557918D-23FF-4E98-9AD7-35483FDDA39D,Yes,NO APPARENT INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,MD,34CA84F9-4067-4C01-902B-A2FC44983DC7,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2017,JEEP,WRANGLER,38.99764048,-77.0539655,(38.99764048 -77.0539655)
MCP2437005B,230057365,Montgomery County Police,Injury Crash,09/28/2023 06:31:00 PM,Maryland (State),FREDERICK RD,REDLAND RD,,N/A,BICYCLIST,SAME DIRECTION RIGHT TURN,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,NONE DETECTED,5F9552E5-B6C8-4CF9-B404-3A6CAC1690AE,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,85E98664-9509-43E5-AEA1-2200B03F60E8,UNKNOWN,TWELVE OCLOCK,,MAKING RIGHT TURN,North,40,No,No,0,UNKNOWN,UNKNOWN,39.11570264,-77.16608486,(39.11570264 -77.16608486)
MCP3161005T,230060890,Montgomery County Police,Injury Crash,10/16/2023 04:13:00 PM,Maryland (State),CONNECTICUT AVE,RAYMOND ST,,CHEVY CHASE #3,,HEAD ON LEFT TURN,CLEAR,N/A,DAYLIGHT,NO CONTROLS,NONE DETECTED,,9F5DDC14-4953-418F-9F3C-047A4D9B400A,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,F845F38A-4972-461B-85A7-28E5C037EB1B,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30,No,No,2021,HOND,CR-V,38.977962,-77.07722033,(38.977962 -77.07722033)
MCP3256002Q,230073160,Montgomery County Police,Property Damage Crash,12/22/2023 03:00:00 PM,US (State),COLUMBIA PIKE,STEWART LA,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EB3D95BA-FD89-4D92-8E71-52C9E924000C,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,MD,1FA15C22-13E5-40DF-8925-84224611A011,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,50,No,No,2012,NISSAN,SD,39.04668567,-76.98631133,(39.04668567 -76.98631133)
EJ78760062,230049816,Gaithersburg Police Depar,Property Damage Crash,08/16/2023 06:45:00 PM,County,MUDDY BRANCH RD,ENT TO MUDDY BRANCH SQUARE,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,1FF1E285-13FD-4D93-A287-A6F3EBAB34B7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,CT,3511E104-0032-46C3-91E6-00811527721F,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,40,No,No,2018,INFI,QX30,39.11556138,-77.21612327,(39.11556138 -77.21612327)
MCP0617005D,230050089,Montgomery County Police,Injury Crash,08/18/2023 11:07:00 AM,County,NOTLEY RD,NOVA CT,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,FF1C1E91-4F02-46AE-9C01-7476457F4B6B,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,8862FEDD-1A22-4AE6-84E3-9BCEEC407B69,FUNCTIONAL,SIX OCLOCK,PICKUP TRUCK,SLOWING OR STOPPING,East,30,No,No,2002,NISS,PK,39.09144,-77.01478167,(39.09144 -77.01478167)
HA2368000B,16000959,Maryland-National Capital,Property Damage Crash,07/29/2016 01:20:00 PM,County,CAMERON ST,GEORGIA AVE,,N/A,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,A2E4ABCB-777C-48F7-8A17-B6547C3CFC12,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,PA,87EC410A-4B68-4451-9153-D73D9871029B,SUPERFICIAL,THREE OCLOCK,PASSENGER CAR,STARTING FROM LANE,North,25,No,No,2005,BUICK,LACROSSE,39.03625921,-76.93724513,(39.03625921 -76.93724513)
MCP2866008N,230063386,Montgomery County Police,Injury Crash,10/30/2023 12:14:00 PM,County,SHAKESPEARE BLVD,AMBER RIDGE DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,A99BECAE-2F0C-432B-BDE2-3E7928987B35,No,SUSPECTED MINOR INJURY,N/A,NOT DISTRACTED,MD,32C12142-34E1-42F0-9E3A-85F70D5CB70F,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,25,No,No,2017,JEEP,GRAND CHEROKEE,39.19735743,-77.24991357,(39.19735743 -77.24991357)
MCP31290014,190044578,Montgomery County Police,Injury Crash,09/17/2019 04:47:00 PM,Maryland (State),NEW HAMPSHIRE AVE,ENT TO COLESVILLE CENTER,,N/A,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,9B597988-8D81-464F-A2F4-243A7BE1B204,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,11002542-9E38-40D1-A330-E4F1F2A884B4,SUPERFICIAL,SEVEN OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,45,No,No,2010,TOYT,VN,39.07762167,-77.00171667,(39.07762167 -77.00171667)
EJ7781004D,230051434,Gaithersburg Police Depar,Property Damage Crash,08/26/2023 09:08:00 AM,Maryland (State),DARNESTOWN RD,ENT TO POTOMAC VALLEY SHOPPING CTR,,N/A,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,67487E72-EE21-482B-85D7-0B70C7F1847A,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,B8E0DFBF-26A2-4924-91AD-0FE0FC4EC214,FUNCTIONAL,ELEVEN OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,15,No,No,2023,TESL,HB,39.1174087,-77.25083387,(39.1174087 -77.25083387)
DD5567001Q,230069778,Rockville Police Departme,Property Damage Crash,12/04/2023 11:56:00 AM,Municipality,W GUDE DR,RESEARCH BLVD,,ROCKVILLE,,HEAD ON LEFT TURN,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,325B5B4B-58BD-49E1-8416-A57A941B9161,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,E41BE968-0BE8-4100-9973-F83CC576C6DF,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,40,No,No,2010,NISS,4S,39.10004689,-77.18189369,(39.10004689 -77.18189369)
MCP2712003D,190013736,Montgomery County Police,Property Damage Crash,03/13/2019 01:27:00 PM,,,,WHOLE FOOD PARKING LOT - 833 WAYNE AVE,,,OTHER,CLEAR,,DAYLIGHT,N/A,N/A,,551DCB32-8AC4-4BA0-B16F-28ADEBAAE012,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,3F0D8BF5-8DAD-483D-9B92-6884BD5D3A2E,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,PARKING,South,15,No,No,2006,TOYOTA,RAV4,39.06145333,-76.96177833,(39.06145333 -76.96177833)
MCP01130016,17009761,Montgomery County Police,Property Damage Crash,02/23/2017 12:01:00 PM,Municipality,DETRICK AVE,WARNER ST,,KENSINGTON,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,5E26D10C-34F6-4637-B7C5-9483DD9D4695,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,286DC23C-834F-416F-8F76-6E8C24303155,SUPERFICIAL,TWO OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2017,TOYOTA,PRIUS,39.02660833,-77.07861,(39.02660833 -77.07861)
MCP31680067,230071350,Montgomery County Police,Injury Crash,12/12/2023 06:04:00 PM,Municipality,RIDGEMONT AVE,HAVENCREST ST,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,F0BAC8B8-A944-46D9-B465-6098EE4EFE25,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,C18C0A53-9AF9-45C7-9107-736027EC8718,DISABLING,THREE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,25,No,No,2018,TOYOTA,CAMRY,39.11676385,-77.17430978,(39.11676385 -77.17430978)
MCP1566001S,230047051,Montgomery County Police,Property Damage Crash,07/31/2023 12:03:00 AM,Other Public Roadway,MONTROSE PKWY,MONTROSE RD,,N/A,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,FBFF220C-F0F7-46AB-B4BB-D61FAB6CAFF1,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,5EF19DD9-9CD2-4103-A10A-69883904E195,DESTROYED,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,Unknown,No,2006,BMW,750I,39.05170089,-77.13488174,(39.05170089 -77.13488174)
MCP27230084,230067140,Montgomery County Police,Injury Crash,11/18/2023 06:15:00 PM,Maryland (State),VEIRS MILL RD,ASPEN HILL RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL PRESENT,,DAF24B41-E553-4AF6-97D7-78B43A1F4835,Yes,NO APPARENT INJURY,N/A,INATTENTIVE OR LOST IN THOUGHT,PA,D44C8DF2-45BF-4DC8-95D4-1E7C5D9BAEFA,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,45,No,No,2019,FORD,FLEX,39.06932185,-77.10467731,(39.06932185 -77.10467731)
MCP30080044,230070313,Montgomery County Police,Property Damage Crash,12/07/2023 12:30:00 AM,County,GREENWOOD AVE,WABASH AVE,,N/A,,N/A,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,0D53EA50-9544-47EC-8F2B-57FC52EB0903,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,63DD52EA-D27D-464E-819D-E12FECA5F58A,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2018,FRHT,TK,38.99412,-77.00123833,(38.99412 -77.00123833)
EJ7895002V,220044569,Gaithersburg Police Depar,Injury Crash,10/12/2022 08:25:00 AM,Maryland (State),GREAT SENECA HWY,LONGDRAFT RD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,4C24C516-753C-4336-9745-6A01C8BEE57C,Yes,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,07BC4F85-E670-4D7D-A0D9-EFFD69834E87,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,55,No,No,2005,CHEVY,TRAILBLAZER,39.13300913,-77.24464417,(39.13300913 -77.24464417)
MCP2620002J,230029153,Montgomery County Police,Injury Crash,06/17/2023 02:39:00 PM,Maryland (State),ROCKVILLE PIKE,STRATHMORE AVE,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,7D0910DB-A36F-448A-9C33-25EE16A084CF,Yes,SUSPECTED MINOR INJURY,N/A,UNKNOWN,MD,8AF3E143-5D78-4D1F-9DAA-71C93D697B1F,DESTROYED,NINE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,East,35,No,No,2003,HONDA,ACCORD,39.03485122,-77.1068545,(39.03485122 -77.1068545)
MCP2347004C,230062619,Montgomery County Police,Property Damage Crash,10/26/2023 08:04:00 AM,County,BRIGGS CHANEY RD,CASTLE BLVD,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,2A353E26-FD7D-47A9-AC30-D7C936D53AC7,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,5018A318-996C-4B51-A29E-E51FAA581B2A,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,30,No,No,2008,TOYOTA,PRIUS,39.08083849,-76.94594145,(39.08083849 -76.94594145)
MCP285900F6,230066887,Montgomery County Police,Property Damage Crash,11/17/2023 11:45:00 AM,County,MUDDY BRANCH RD,WEST SIDE DR,,GAITHERSBURG,,HEAD ON LEFT TURN,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,0B46671C-2125-47AB-8A27-25036799D19F,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,10F2C849-5B62-478C-AD76-E9A4CD21AAA0,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2008,NISS,PATHFINDER,39.129068,-77.207473,(39.129068 -77.207473)
MCP302600BJ,230048537,Montgomery County Police,Property Damage Crash,08/09/2023 09:30:00 AM,,,,PARKING LOT 5910 GOLDSBORO RD,,,OTHER,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,0D2E8CBA-CBA8-4B2F-AD40-A468C517EAE0,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,9808BF89-70DA-4827-9B0A-E5FAC4C140D3,UNKNOWN,SIX OCLOCK,PASSENGER CAR,BACKING,East,15,No,No,2012,MERCEDES,2D,38.987215,-77.1407015,(38.987215 -77.1407015)
MCP289100CJ,230046215,Montgomery County Police,Property Damage Crash,07/26/2023 01:38:00 PM,County,FRANKLIN AVE,ELLSWORTH DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,708A6D71-C17E-4E6B-AFB2-4E54EE43393E,No,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,F84E7766-EE54-4C12-8F55-213A81CCE740,DISABLING,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,West,25,No,No,2018,HONDA,HRV,39.00867667,-77.01797333,(39.00867667 -77.01797333)
